-4070834.4029297018	  inf
-3617865.9173324076	1.11272e-01
-3554384.0689117992	1.75468e-02
-3503207.4620839236	1.43982e-02
-3471560.4717784068	9.03372e-03
-3452125.0584515575	5.59847e-03
-3439824.7566261636	3.56311e-03
-3431662.9756792397	2.37273e-03
-3425879.0134015814	1.68547e-03
-3421606.8098823344	1.24704e-03
-3418297.6398583767	9.67139e-04
-3415702.6998796677	7.59132e-04
-3413726.8382140417	5.78464e-04
-3412082.5711636073	4.81663e-04
-3410707.2380461311	4.03077e-04
-3409500.1566888923	3.53909e-04
-3408434.9187483564	3.12432e-04
-3407542.7423646525	2.61755e-04
-3406725.0771389171	2.39957e-04
-3406019.6409668690	2.07072e-04
-3405444.0140242167	1.69003e-04
-3404904.2078251080	1.58513e-04
-3404419.3615643075	1.42396e-04
-3403969.3260824410	1.32192e-04
-3403573.1946444800	1.16373e-04
-3403190.7315110797	1.12371e-04
-3402845.2927867365	1.01504e-04
-3402529.7104860912	9.27407e-05
